Year,State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless
2023,AK,2,2614,361,227,501,609
2023,AL,8,3304,560,178,514,684
2023,AR,5,2609,304,177,483,550
2023,AZ,3,14237,1585,996,2776,3072
2023,CA,44,181399,15499,11840,26443,33036
2023,CO,4,14439,2291,771,2480,3043
2023,CT,2,3015,583,236,469,528
2023,DE,1,1245,335,66,195,189
2023,FL,27,30756,4797,1518,4901,5381
2023,GA,9,12294,2349,642,1293,1419
2023,HI,2,6223,924,428,832,1130
2023,IA,3,2653,516,180,507,579
2023,ID,2,2298,461,133,300,616
2023,IL,19,11947,2426,1347,2490,2414
2023,IN,2,6017,1197,347,975,1134
2023,KS,5,2636,435,153,467,610
2023,KY,3,4766,590,307,805,1068
2023,LA,7,3169,376,199,509,666
2023,MA,12,19141,7400,1348,3614,3086
2023,MD,10,5865,1146,418,918,973
2023,ME,1,4258,1236,314,634,864
2023,MI,20,8997,2280,721,1375,1559
2023,MN,10,8393,2390,951,1579,1464
2023,MO,8,6708,1240,591,1436,1310
2023,MS,3,982,130,49,139,249
2023,MT,1,2178,296,217,319,510
2023,NC,12,9754,1652,594,2040,1651
2023,ND,1,784,137,84,177,169
2023,NE,3,2462,419,193,401,482
2023,NH,3,2441,443,175,442,539
2023,NJ,16,10264,2500,737,1658,1831
2023,NM,2,3842,678,283,714,833
2023,NV,3,8666,693,454,1284,1745
2023,NY,24,103200,29377,10327,22464,16640
2023,OH,9,11386,2091,911,2015,2306
2023,OK,8,4648,626,452,859,1032
2023,OR,8,20142,2617,1255,3433,4587
2023,PA,16,12556,2669,957,2107,2311
2023,RI,1,1810,376,81,294,380
2023,SC,4,4053,520,220,644,755
2023,SD,1,1282,207,107,251,252
2023,TN,10,9215,1020,646,1652,1880
2023,TX,11,27377,4231,1621,5487,5321
2023,UT,3,3687,605,218,534,829
2023,VA,16,6761,1539,441,1032,1183
2023,VT,2,3295,654,247,580,734
2023,WA,6,28036,4386,1897,3542,4352
2023,WI,4,4861,1189,279,883,973
2023,WV,4,1416,125,136,295,371
2023,WY,1,532,37,62,73,116
2022,AK,2,2320,328,203,1789,892
2022,AL,8,3752,790,217,2745,1633
2022,AR,5,2459,243,243,1973,861
2022,AZ,3,13553,1723,1084,10746,4884
2022,CA,44,171521,15439,10896,145186,58137
2022,CO,4,10397,1339,575,8483,3884
2022,CT,2,2930,560,205,2165,1177
2022,DE,1,2369,769,200,1400,1129
2022,FL,27,25959,4189,1222,20548,9225
2022,GA,9,10689,1785,616,8288,4193
2022,HI,2,5967,865,305,4797,2291
2022,IA,3,2419,485,165,1769,931
2022,ID,2,1998,459,132,1407,867
2022,IL,19,9212,1902,897,6413,3620
2022,IN,2,5449,1012,335,4102,2207
2022,KS,5,2397,369,161,1867,943
2022,KY,3,3984,608,279,3097,1555
2022,LA,7,7373,2262,211,4900,3198
2022,MA,12,15507,5977,1187,8343,7762
2022,MD,11,5349,1080,354,3915,2146
2022,ME,1,4411,1073,290,3048,1883
2022,MI,20,8206,2164,624,5418,3592
2022,MN,10,7917,1972,781,5164,3453
2022,MO,8,5992,1127,551,4314,2511
2022,MS,3,1196,70,125,1001,445
2022,MT,1,1585,264,121,1200,660
2022,NC,12,9382,1743,556,7083,3949
2022,ND,1,610,116,45,449,233
2022,NE,3,2246,373,152,1721,830
2022,NH,3,1605,315,128,1162,685
2022,NJ,16,8752,1833,650,6269,3650
2022,NM,2,2560,484,192,1884,945
2022,NV,3,7618,522,392,6704,2292
2022,NY,24,74178,20299,6399,47480,31997
2022,OH,9,10654,2098,930,7626,4434
2022,OK,8,3754,528,360,2866,1496
2022,OR,8,17959,2157,987,14815,6671
2022,PA,16,12691,2974,943,8774,5373
2022,RI,1,1577,317,101,1159,622
2022,SC,4,3608,539,251,2818,1352
2022,SD,1,1389,281,96,1012,563
2022,TN,10,10567,1460,629,8478,4421
2022,TX,11,24432,3791,1508,19133,9076
2022,UT,3,3557,697,235,2625,1420
2022,VA,16,6529,1418,413,4698,2621
2022,VT,2,2780,481,221,2078,1219
2022,WA,6,25211,4044,1661,19506,8927
2022,WI,4,4775,1228,311,3236,2098
2022,WV,4,1375,90,131,1154,531
2022,WY,1,648,106,79,463,256
2021,AK,2,1949,302,305,1342,672
2021,AL,8,2556,312,74,1691,789
2021,AR,5,2139,193,165,1781,818
2021,AZ,3,5460,1387,347,3726,2359
2021,CA,44,57468,12424,4288,39950,25230
2021,CO,4,8544,1545,457,6542,3238
2021,CT,2,2593,385,184,2024,987
2021,DE,1,1579,509,122,948,760
2021,FL,27,21121,3497,940,13915,6845
2021,GA,9,5486,1265,347,3647,2259
2021,HI,2,2490,766,157,1567,1148
2021,IA,3,2534,501,185,1848,1008
2021,ID,2,1889,552,144,1120,484
2021,IL,19,7958,1828,804,5142,3373
2021,IN,2,4975,845,295,3835,1865
2021,KS,5,1803,277,152,1374,694
2021,KY,3,2544,372,203,1969,1008
2021,LA,7,2131,298,146,1205,612
2021,MA,12,15079,5900,1165,7998,7535
2021,MD,12,4550,785,375,3361,1747
2021,ME,1,2063,461,138,1464,952
2021,MI,20,6757,1828,565,4293,2947
2021,MN,10,6775,1870,713,4192,3066
2021,MO,8,4926,1173,443,3151,2162
2021,MS,3,626,51,35,540,254
2021,MT,1,1801,259,72,844,487
2021,NC,12,7249,1484,437,5221,2936
2021,ND,1,548,126,57,365,237
2021,NE,3,1935,326,147,1462,718
2021,NH,3,1491,320,123,1048,645
2021,NJ,16,8262,1672,537,6053,3342
2021,NM,2,2747,521,207,2019,1072
2021,NV,3,7090,367,354,5366,1879
2021,NY,24,78920,22349,6712,49793,34613
2021,OH,9,7915,1781,671,5463,3338
2021,OK,8,2694,438,258,1998,1078
2021,OR,8,9048,992,672,7384,3325
2021,PA,16,10339,2468,789,7031,4356
2021,RI,1,1267,290,96,881,522
2021,SC,4,3207,504,215,2245,1182
2021,SD,1,817,200,88,529,356
2021,TN,10,6823,765,342,5429,2298
2021,TX,11,17295,2981,1218,13080,6647
2021,UT,3,3565,496,153,1761,1035
2021,VA,16,5812,1190,336,4160,2353
2021,VT,2,2591,360,267,1964,1167
2021,WA,6,11511,2811,907,7793,4957
2021,WI,4,4237,1107,235,2895,1816
2021,WV,4,1138,100,80,958,438
2021,WY,1,405,116,32,257,239
2020,AK,2,1949,326,197,1426,828
2020,AL,8,3351,528,198,2625,1294
2020,AR,4,2366,195,258,1913,798
2020,AZ,3,10979,1722,824,8433,4228
2020,CA,44,161548,16141,13391,132016,53505
2020,CO,4,9846,1364,734,7748,3198
2020,CT,2,2905,585,208,2112,1107
2020,DE,1,1165,266,71,828,463
2020,FL,27,27487,4637,1588,21262,9743
2020,GA,9,10234,1667,530,8037,3743
2020,HI,2,6458,1101,396,4961,2521
2020,IA,3,2647,535,200,1912,993
2020,ID,2,2315,592,149,1574,1035
2020,IL,19,10431,2212,958,7261,4300
2020,IN,2,5625,978,352,4295,2182
2020,KS,5,2449,407,213,1829,928
2020,KY,3,4011,581,268,3162,1607
2020,LA,7,3173,396,275,2502,967
2020,MA,13,17975,7092,1404,9479,8891
2020,MD,16,6360,1215,346,4799,2568
2020,ME,1,2097,480,149,1468,940
2020,MI,20,8638,2239,658,5741,3770
2020,MN,10,7940,2140,932,4868,3408
2020,MO,8,6527,1482,693,4352,2952
2020,MS,3,1107,165,53,889,395
2020,MT,1,1545,328,98,1119,630
2020,NC,12,9280,1634,561,7085,3614
2020,ND,1,541,115,46,380,226
2020,NE,3,2404,463,181,1760,897
2020,NH,3,1675,373,118,1184,735
2020,NJ,16,9662,2053,717,6892,4030
2020,NM,2,3333,482,221,2630,1197
2020,NV,3,6900,383,549,5968,2050
2020,NY,24,91271,27968,8199,55104,41881
2020,OH,9,10655,1999,842,7814,4210
2020,OK,8,3932,490,305,3137,1402
2020,OR,8,14655,2030,944,11681,5443
2020,PA,16,13375,3048,1000,9327,5388
2020,RI,1,1104,238,48,818,431
2020,SC,4,4287,518,256,3513,1579
2020,SD,1,1058,215,83,760,448
2020,TN,10,7256,998,397,5861,2602
2020,TX,11,27229,4048,1663,21518,10080
2020,UT,3,3131,635,239,2257,1250
2020,VA,16,5957,1266,360,4331,2395
2020,VT,2,1110,216,127,767,498
2020,WA,6,22923,4115,1913,16895,9426
2020,WI,4,4515,1196,293,3026,1887
2020,WV,4,1341,122,115,1104,522
2020,WY,1,612,143,92,377,268
2019,AK,2,1907,335,204,1368,761
2019,AL,8,3261,629,199,2433,1383
2019,AR,5,2717,303,317,2097,1022
2019,AZ,3,10007,1602,708,7697,3683
2019,CA,44,151278,14305,12673,124300,50467
2019,CO,3,9619,1458,685,7476,3238
2019,CT,2,3033,588,272,2173,1133
2019,DE,1,921,220,83,618,373
2019,FL,27,28328,4703,1625,22000,9884
2019,GA,9,10443,1679,642,8122,3765
2019,HI,2,6412,1177,323,4912,2591
2019,IA,3,2315,495,187,1633,917
2019,ID,2,2315,473,220,1622,920
2019,IL,19,10199,2355,926,6918,4241
2019,IN,2,5471,1092,327,4052,2205
2019,KS,5,2381,383,150,1848,932
2019,KY,3,4079,629,308,3142,1584
2019,LA,7,2941,375,182,2384,867
2019,MA,15,18471,7357,1540,9574,9118
2019,MD,16,6561,1214,399,4948,2490
2019,ME,1,2106,541,147,1418,995
2019,MI,21,8575,2231,712,5632,3532
2019,MN,10,7977,2157,900,4920,3554
2019,MO,8,6179,1359,545,4275,2696
2019,MS,3,1184,152,55,977,417
2019,MT,1,1357,250,111,996,555
2019,NC,12,9314,1553,532,7229,3576
2019,ND,1,557,127,74,356,178
2019,NE,3,2365,423,185,1757,866
2019,NH,3,1396,352,117,927,626
2019,NJ,16,8862,1831,714,6317,3579
2019,NM,2,3241,515,217,2509,1278
2019,NV,3,7169,656,1025,5488,2095
2019,NY,27,92091,28985,8444,54662,42980
2019,OH,9,10345,2135,853,7357,4131
2019,OK,8,3944,549,327,3068,1351
2019,OR,7,15876,2645,1116,12115,6187
2019,PA,16,13199,3020,1079,9100,5373
2019,RI,1,1055,197,39,819,358
2019,SC,4,4172,520,263,3389,1520
2019,SD,1,995,188,72,735,389
2019,TN,10,7467,1170,421,5876,2823
2019,TX,11,25848,4249,1523,20076,9404
2019,UT,3,2798,565,190,2043,1108
2019,VA,16,5783,1346,367,4070,2318
2019,VT,2,1089,251,136,702,461
2019,WA,6,21577,3557,2123,15897,8820
2019,WI,4,4538,1303,286,2949,1947
2019,WV,4,1397,153,94,1150,529
2019,WY,1,548,81,69,398,172
2018,AK,2,2016,349,191,1476,880
2018,AL,8,3434,573,157,2704,1399
2018,AR,7,2712,309,213,2190,1113
2018,AZ,3,9865,1680,780,7405,3460
2018,CA,43,129972,13936,12678,103358,42491
2018,CO,3,10857,1887,808,8162,3880
2018,CT,2,3976,967,254,2755,1659
2018,DE,1,1082,227,78,777,490
2018,FL,27,31030,5871,2371,22788,11092
2018,GA,9,9499,1673,610,7216,3742
2018,HI,2,6530,1366,370,4794,2673
2018,IA,3,2749,684,282,1783,1136
2018,ID,2,2012,438,157,1417,813
2018,IL,20,10643,2505,958,7180,4376
2018,IN,2,5258,981,332,3945,2138
2018,KS,5,2216,507,169,1540,856
2018,KY,3,3688,616,248,2824,1402
2018,LA,7,3059,371,219,2469,901
2018,MA,15,20068,7660,1674,10734,10001
2018,MD,16,7144,1399,397,5348,2643
2018,ME,1,2516,654,184,1678,1174
2018,MI,21,8351,2173,749,5429,3498
2018,MN,10,7243,2254,890,4099,3278
2018,MO,8,5883,1402,599,3882,2584
2018,MS,3,1352,206,109,1037,502
2018,MT,1,1405,247,151,1007,559
2018,NC,12,9268,1762,647,6859,3516
2018,ND,1,542,61,61,420,218
