"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",46.544,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",47.431,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",48.753,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",49.889,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",51.155,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",52.714,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",54.534,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",56.359,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",59.244,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",62.158,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",66.135,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",71.081,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",75.581,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",80.295,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",87.82,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",97.785,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",104.793,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",105.956,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",100.514,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",94.937,,
